PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
54921,32.595994,129.3002762,0,-1.846,71.698,1,4929,34,90
54922,32.595994,129.3002801,0,-1.846,72.698,1,4929,34,90
54923,32.595994,129.3002839,0,-1.846,73.698,1,4929,34,90
54924,32.595994,129.3002878,0,-1.846,74.698,1,4929,34,90
54925,32.595994,129.3002916,0,-1.846,75.698,1,4929,34,90
54926,32.595994,129.3002955,0,-1.846,76.698,1,4929,34,90
54927,32.595994,129.3002993,0,-1.846,77.698,1,4929,34,90
54928,32.595994,129.3003032,0,-1.846,78.698,1,4929,34,90
54929,32.595994,129.300307,0,-1.846,79.698,1,4929,34,90
54930,32.595994,129.3003109,0,-1.846,80.698,1,4929,34,90
54931,32.595994,129.3003147,0,-1.846,81.698,1,4929,34,90
54932,32.595994,129.3003186,0,-1.846,82.698,1,4929,34,90
54933,32.595994,129.3003225,0,-1.846,83.698,1,4929,34,90
54934,32.595994,129.3003263,0,-1.846,84.698,1,4929,34,90
54935,32.595994,129.3003302,0,-1.846,85.698,1,4929,34,90
54936,32.595994,129.300334,0,-1.846,86.698,1,4929,34,90
54937,32.595994,129.3003379,0,-1.846,87.698,1,4929,34,90
54938,32.595994,129.3003417,0,-1.846,88.698,1,4929,34,90
54939,32.595994,129.3003456,0,-1.846,89.698,1,4929,34,90
54940,32.595994,129.3003494,0,-1.846,90.698,1,4929,34,90
54941,32.595994,129.3003533,0,-1.846,91.698,1,4929,34,90
54942,32.595994,129.3003571,0,-1.846,92.698,1,4929,34,90
54943,32.595994,129.300361,0,-1.846,93.698,1,4929,34,90
54944,32.595994,129.3003648,0,-1.846,94.698,1,4929,34,90
54945,32.595994,129.3003687,0,-1.846,95.698,1,4929,34,90
54946,32.595994,129.3003725,0,-1.846,96.698,1,4929,34,90
54947,32.595994,129.3003764,0,-1.846,97.698,1,4929,34,90
54948,32.595994,129.3003802,0,-1.846,98.698,1,4929,34,90
54949,32.595994,129.3003841,0,-1.846,99.698,1,4929,34,90
54950,32.595994,129.3003879,0,-1.846,100.698,1,4929,34,90
54951,32.595994,129.3003918,0,-1.846,101.698,1,4929,34,90
54952,32.595994,129.3003957,0,-1.846,102.698,1,4929,34,90
54953,32.595994,129.3003995,0,-1.846,103.698,1,4929,34,90
54954,32.595994,129.3004034,0,-1.846,104.698,1,4929,34,90
54955,32.595994,129.3004072,0,-1.846,105.698,1,4929,34,90
54957,32.595995,129.3001865,5.92,-1.528,48.399,1,4929,34,90
54958,32.595995,129.3001865,5.62,-1.528,48.399,1,4929,34,90
54959,32.595995,129.3001865,5.32,-1.528,48.399,1,4929,34,90
55047,32.5959932,129.300411,0,-2.099,106.671,1,4929,34,90
55048,32.595991,129.3004139,0,-2.782,107.438,1,4929,34,90
55049,32.5959879,129.300415,0,-3.73,107.72,1,4929,34,90
55050,32.5959839,129.3004152,0,-4.955,107.76,1,4929,34,90
55051,32.5959812,129.3004152,0,-5.785,107.76,1,4929,34,90
55052,32.5959778,129.300415,0,-6.839,107.728,1,4929,34,90
55053,32.5959745,129.300415,0,-7.839,107.73,1,4929,34,90
55054,32.5959713,129.300415,0,-8.839,107.732,1,4929,34,90
55055,32.5959681,129.3004151,0,-9.839,107.734,1,4929,34,90
55056,32.5959648,129.3004151,0,-10.839,107.736,1,4929,34,90
55057,32.5959616,129.3004151,0,-11.839,107.738,1,4929,34,90
55058,32.5959583,129.3004151,0,-12.839,107.74,1,4929,34,90
55059,32.5959551,129.3004151,0,-13.839,107.742,1,4929,34,90
55060,32.5959518,129.3004151,0,-14.839,107.744,1,4929,34,90
55061,32.5959486,129.3004151,0,-15.839,107.746,1,4929,34,90
55062,32.5959453,129.3004151,0,-16.839,107.748,1,4929,34,90
55063,32.5959421,129.3004151,0,-17.839,107.75,1,4929,34,90
55064,32.5959388,129.3004151,0,-18.839,107.752,1,4929,34,90
55065,32.5959356,129.3004151,0,-19.839,107.754,1,4929,34,90
55066,32.5959323,129.3004151,0,-20.839,107.756,1,4929,34,90
55067,32.5959291,129.3004151,0,-21.839,107.758,1,4929,34,90
55068,32.5959259,129.3004152,0,-22.839,107.76,1,4929,34,90
55069,32.5959226,129.3004152,0,-23.839,107.762,1,4929,34,90
55070,32.5959194,129.3004152,0,-24.839,107.764,1,4929,34,90
55071,32.5959161,129.3004152,0,-25.839,107.766,1,4929,34,90
55072,32.5959129,129.3004152,0,-26.839,107.768,1,4929,34,90
55073,32.5959096,129.3004152,0,-27.839,107.77,1,4929,34,90
55074,32.5959064,129.3004152,0,-28.839,107.772,1,4929,34,90
55075,32.5959031,129.3004152,0,-29.839,107.774,1,4929,34,90
55076,32.5958999,129.3004152,0,-30.839,107.776,1,4929,34,90
55077,32.5958966,129.3004152,0,-31.839,107.778,1,4929,34,90
55078,32.5958934,129.3004152,0,-32.839,107.78,1,4929,34,90
55079,32.5958901,129.3004152,0,-33.839,107.782,1,4929,34,90
55080,32.5958869,129.3004152,0,-34.839,107.784,1,4929,34,90
55081,32.5958837,129.3004153,0,-35.839,107.786,1,4929,34,90
55082,32.5958804,129.3004153,0,-36.839,107.788,1,4929,34,90
55083,32.5958772,129.3004153,0,-37.839,107.79,1,4929,34,90
55084,32.5958739,129.3004153,0,-38.839,107.792,1,4929,34,90
55085,32.5958707,129.3004153,0,-39.839,107.794,1,4929,34,90
55086,32.5958674,129.3004153,0,-40.839,107.796,1,4929,34,90
55087,32.595865,129.3004153,0,-41.572,107.798,1,4929,34,90
55088,32.5958625,129.3004139,0,-42.344,107.435,1,4929,34,90
55089,32.5958615,129.3004116,0,-42.654,106.837,1,4929,34,90
55090,32.5958615,129.3004068,0.006,-42.668,105.591,1,4929,34,90
55091,32.5958615,129.3004029,0.006,-42.677,104.591,1,4929,34,90
55092,32.5958614,129.3003991,0.006,-42.686,103.591,1,4929,34,90
55093,32.5958614,129.3003952,0.006,-42.695,102.591,1,4929,34,90
55094,32.5958614,129.3003914,0.006,-42.704,101.591,1,4929,34,90
55095,32.5958613,129.3003875,0.006,-42.713,100.591,1,4929,34,90
55096,32.5958613,129.3003837,0.006,-42.722,99.591,1,4929,34,90
55097,32.5958613,129.3003798,0.006,-42.731,98.591,1,4929,34,90
55098,32.5958612,129.300376,0.006,-42.74,97.591,1,4929,34,90
55099,32.5958612,129.3003721,0.006,-42.749,96.591,1,4929,34,90
55100,32.5958612,129.3003683,0.006,-42.758,95.591,1,4929,34,90
55101,32.5958612,129.3003644,0.006,-42.767,94.591,1,4929,34,90
55102,32.5958611,129.3003606,0.006,-42.776,93.591,1,4929,34,90
55103,32.5958611,129.3003567,0.006,-42.785,92.591,1,4929,34,90
55104,32.5958611,129.3003529,0.006,-42.794,91.591,1,4929,34,90
55105,32.595861,129.300349,0.006,-42.803,90.591,1,4929,34,90
55106,32.595861,129.3003452,0.006,-42.812,89.591,1,4929,34,90
55107,32.595861,129.3003413,0.006,-42.821,88.591,1,4929,34,90
55108,32.595861,129.3003374,0.006,-42.83,87.591,1,4929,34,90
55109,32.5958609,129.3003336,0.006,-42.839,86.591,1,4929,34,90
55110,32.5958609,129.3003297,0.006,-42.848,85.591,1,4929,34,90
55111,32.5958609,129.3003259,0.006,-42.857,84.591,1,4929,34,90
55112,32.5958608,129.300322,0.006,-42.866,83.591,1,4929,34,90
55113,32.5958608,129.3003182,0.006,-42.875,82.591,1,4929,34,90
